case,implementation,version,algorithm,seconds,objective,gradient_norm,feasibility,optimum,fn,gradient,termination,device,dtype,transfer_seconds,seed,peak_rss_bytes,baseline_rss_bytes,peak_run_rss_bytes,memory_method,memory_status
procrustes,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.0010103329999999744,3.208501721718568,2.3905054940238765e-07,6.824733671819388e-16,3.208501721718554,34,14,"Terminated - min grad norm reached after 14 iterations, 0.00 seconds.",cpu,float64,0,3,57409536,57409536,57409536,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
completion,riemtorch,0.6.0,lbfgs,0.622,8.46051467916472e-16,4.09974521238644e-08,0,0,31,16,converged_gradient,cpu,float64,0,3,360710144,347062272,360710144,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
completion,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.005270667000000007,2.526881846425859e-13,4.707639073158879e-07,0.0,0,43,18,"Terminated - min grad norm reached after 18 iterations, 0.01 seconds.",cpu,float64,0,3,57327616,57327616,57327616,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
spd,riemtorch,0.6.0,lbfgs,0.268,6.72245847088365e-31,1.15815107381053e-15,1.57009245868378e-16,0,3,2,converged_gradient,cpu,float64,0,3,375062528,359612416,375062528,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
spd,SciPy,1.13.1,BFGS in log-Euclidean coordinates,0.0005471249999999817,0.0,0.0,0.0,0,3,3,Optimization terminated successfully.,cpu,float64,0,3,57360384,57360384,57360384,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
robust,riemtorch,0.6.0,levenberg_marquardt,0.314,1.8156488017823,8.12837203340486e-08,0,NA,9,5,converged_gradient,cpu,float64,0,3,355483648,341475328,355483648,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
robust,SciPy,1.13.1,trust-region reflective robust least squares,0.004838958000000004,1.8156488017822987,8.064132208641563e-16,0.0,nan,4,4,`gtol` termination condition is satisfied.,cpu,float64,0,3,58015744,58015744,58015744,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
hyperbolic,riemtorch,0.6.0,lbfgs,0.451,3.5349501104064e-13,8.41011617921139e-07,0,0,7,4,converged_gradient,cpu,float64,0,3,341671936,309493760,341671936,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
hyperbolic,SciPy,1.13.1,BFGS in global Poincare coordinates; independent distance formula,0.004291582999999988,4.3387515802350204e-13,9.312098535460087e-07,0.0,0,110,0,Optimization terminated successfully.,cpu,float64,0,3,57212928,57212928,57212928,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
phase,riemtorch,0.6.0,lbfgs,0.326,-12.5,2.42227390186153e-07,0,-12.5,11,5,converged_gradient,cpu,complex128,0,3,332185600,316506112,332185600,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
phase,Pymanopt,2.2.1,Riemannian CG PR+ (default retraction),0.000510959000000033,-12.499999999999964,6.06902038735606e-07,0.0,-12.5,45,18,"Terminated - min grad norm reached after 18 iterations, 0.00 seconds.",cpu,complex128,0,3,57278464,57278464,57278464,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
constrained,riemtorch,0.6.0,augmented_lagrangian,1.656,1.01999940877161,9.47049042197236e-08,1.66169330166266e-07,1.02,71,71,converged_kkt,cpu,float64,0,3,342097920,329187328,342097920,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
constrained,SciPy,1.13.1,SLSQP with analytic derivatives,0.0009986250000000307,1.0200000000000014,0.0,1.3322676295501878e-15,1.02,2,2,Optimization terminated successfully,cpu,float64,0,3,57491456,57491456,57491456,"process RSS sampled every 20 ms; includes interpreter/runtime, may miss brief peaks",sampled
